Date,HomeTeam,AwayTeam,Referee,HF,AF,TF,HY,AY,TY,HR,AR,TR
15/04/2017,Tottenham,Bournemouth,M Oliver,8,10,18,0,1,1,0,0,0
15/04/2017,Watford,Swansea,L Mason,8,13,21,0,0,0,0,0,0
16/04/2017,Man United,Chelsea,R Madley,16,20,36,3,3,6,0,0,0
16/04/2017,West Brom,Liverpool,J Moss,15,9,24,3,1,4,0,0,0
17/04/2017,Middlesbrough,Arsenal,A Taylor,11,16,27,2,2,4,0,0,0
22/04/2017,Bournemouth,Middlesbrough,G Scott,4,14,18,0,2,2,0,1,1
22/04/2017,Hull,Watford,R Madley,10,11,21,3,1,4,1,0,1
22/04/2017,Swansea,Stoke,M Oliver,5,14,19,2,2,4,0,0,0
22/04/2017,West Ham,Everton,R East,9,15,24,2,3,5,0,0,0
23/04/2017,Burnley,Man United,A Taylor,17,16,33,2,1,3,0,0,0
23/04/2017,Liverpool,Crystal Palace,A Marriner,8,10,18,1,2,3,0,0,0
25/04/2017,Chelsea,Southampton,L Mason,13,9,22,2,2,4,0,0,0
