web_name,team name,first_name,second_name,squad_number,now_cost,selected_by_percent,total_points,points_per_game,minutes,bonus
Hendrick,Burnley,Jeff,Hendrick,13,54,0.3,43,3.3,1012,1
Brady,Burnley,Robbie,Brady,12,55,1,56,3.7,1277,7
Westwood,Burnley,Ashley,Westwood,18,44,0.1,7,1,56,0
Walters,Burnley,Jonathan,Walters,19,51,0.1,2,1,27,0
Cork,Burnley,Jack,Cork,4,46,3.9,46,2.9,1440,3
Vokes,Burnley,Sam,Vokes,9,58,2.3,30,3,399,6
Gray,Watford,Andre,Gray,18,63,2.2,44,2.8,904,2
Barnes,Burnley,Ashley,Barnes,10,52,0.5,22,1.5,550,1
Courtois,Chelsea,Thibaut,Courtois,13,55,14.1,66,4.1,1440,2
Eduardo,Chelsea,Eduardo,dos Reis Carvalho,37,48,0.1,0,0,0,0
Caballero,Chelsea,Willy,Caballero,1,48,0.1,0,0,0,0
Azpilicueta,Chelsea,César,Azpilicueta,28,69,21.9,80,5.3,1350,11
Cahill,Chelsea,Gary,Cahill,24,62,3.4,32,2.7,864,1
Zouma,Stoke,Kurt,Zouma,6,55,2.3,36,2.4,1350,4
Alonso,Chelsea,Marcos,Alonso,3,69,15.3,70,4.4,1349,5
David Luiz,Chelsea,David,Luiz Moreira Marinho,30,58,9.1,29,3.6,716,0
Moses,Chelsea,Victor,Moses,15,64,0.9,33,3.7,610,1
Rüdiger,Chelsea,Antonio,Rüdiger,2,58,2.1,47,4.3,924,6
Hazard,Chelsea,Eden,Hazard,10,109,14.8,70,5.4,807,12
Fàbregas,Chelsea,Cesc,Fàbregas,4,69,4.6,47,3.1,1136,3
Willian,Chelsea,Willian,Borges Da Silva,22,66,5.8,40,2.5,711,1
Matic,Man Utd,Nemanja,Matic,31,49,10.1,43,2.7,1403,0
Loftus-Cheek,Crystal Palace,Ruben,Loftus-Cheek,8,46,8,36,3,990,0
Pedro,Chelsea,Pedro,Rodríguez Ledesma,11,77,1.3,41,3.2,631,2
Kenedy,Chelsea,Robert Kenedy,Nunes do Nascimento,16,47,0,0,0,0,0
Kanté,Chelsea,N'Golo,Kanté,7,49,12.3,45,3.5,1156,6
Chalobah,Watford,Nathaniel,Chalobah,14,43,0.9,12,2.4,429,0
Batshuayi,Chelsea,Michy,Batshuayi,23,81,0.6,16,2.3,194,3
Costa,Chelsea,Diego,Da Silva Costa,19,95,0.4,0,0,0,0
Hennessey,Crystal Palace,Wayne,Hennessey,13,43,1,30,3.3,810,5
