web_name,team_code,first_name,second_name,squad_number,now_cost,dreamteam_count,selected_by_percent,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,ict_index,element_type,team
Dawson,35,Craig,Dawson,25,48,1,1.1,48,3.7,1160,1,0,5,13,0,0,0,3,0,0,3,211,52.2,2,19
McAuley,35,Gareth,McAuley,23,46,0,0.4,5,0.8,264,0,0,0,9,0,0,0,0,0,0,0,50,6.1,2,19
Livermore,35,Jake,Livermore,8,48,0,0.1,48,2.2,1743,0,1,5,27,0,0,0,2,0,0,0,218,51.8,3,19
Chadli,35,Nacer,Chadli,22,56,1,0.2,13,4.3,174,1,0,1,2,0,0,0,1,0,0,3,30,10.1,3,19
Morrison,35,James,Morrison,7,54,0,0.0,13,3.3,205,1,0,2,1,0,0,0,0,0,0,0,35,14.5,3,19
Yacob,35,Claudio,Yacob,5,43,0,0.3,14,1.4,556,0,0,3,7,0,0,0,4,0,0,0,70,17.5,3,19
McClean,35,James,McClean,14,48,0,0.1,28,1.5,697,1,0,3,11,1,0,0,3,0,0,1,85,49.1,3,19
Leko,35,Jonathan,Leko,45,45,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,19
Phillips,35,Matt,Phillips,10,55,0,0.4,48,3.0,1049,1,3,7,12,0,0,0,0,0,0,0,165,63.4,3,19
Field,35,Sam,Field,28,45,0,0.2,19,3.3,438,1,0,4,2,0,0,0,3,0,0,2,59,20.9,3,19
Brunt,35,Chris,Brunt,11,51,0,0.5,38,3.2,780,0,3,6,5,0,0,0,2,0,0,4,183,61.1,3,19
Rondón,35,Salomón,Rondón,9,60,0,0.6,47,2.2,1470,3,1,3,24,0,0,0,3,0,0,0,116,76.0,4,19
Robson-Kanu,35,Hal,Robson-Kanu,4,49,0,0.5,27,1.7,784,2,0,4,11,0,0,0,2,1,0,1,69,46.4,4,19
Rodriguez,35,Jay,Rodriguez,19,55,0,0.8,56,2.5,1685,3,1,7,22,0,0,0,2,0,0,2,152,106.3,4,19
Adrián,21,Adrián,San Miguel del Castillo,13,44,0,3.5,33,3.7,810,0,0,3,11,0,0,0,2,0,29,1,166,19.1,1,20
Randolph,21,Darren,Randolph,1,45,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,20
Fonte,21,Jose,Fonte,4,47,0,0.9,34,4.3,688,0,2,3,11,0,0,0,0,0,0,3,156,33.4,2,20
Collins,21,James,Collins,19,43,0,0.2,22,3.7,507,1,0,2,7,0,0,0,1,0,0,0,109,27.3,2,20
Reid,21,Winston,Reid,2,48,0,0.7,41,2.6,1426,0,0,5,26,0,0,0,5,0,0,3,263,43.1,2,20
Cresswell,21,Aaron,Cresswell,3,51,0,3.8,69,3.3,1749,0,4,6,33,0,0,0,3,0,0,8,350,81.8,2,20
Ogbonna,21,Angelo,Ogbonna,21,45,1,6.2,42,2.3,1620,1,0,3,37,0,0,0,2,0,0,4,295,57.4,2,20
Byram,21,Sam,Byram,22,42,0,0.1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,20
Masuaku,21,Arthur,Masuaku,26,45,0,2.3,38,2.1,1233,0,2,3,23,0,0,0,4,0,0,1,241,55.1,2,20
Zabaleta,21,Pablo,Zabaleta,5,49,0,2.3,55,2.5,1939,0,0,6,35,0,0,0,7,0,0,6,345,64.8,2,20
Snodgrass,21,Robert,Snodgrass,11,58,0,0.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,20
Ayew,21,André,Ayew,20,68,0,1.0,47,2.6,886,3,2,1,25,0,0,1,2,0,0,2,161,47.9,3,20
Noble,21,Mark,Noble,16,53,0,0.1,37,2.6,1050,2,0,3,18,0,0,0,3,0,0,1,212,46.0,3,20
